"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"LOTTO MAX EXTRA",609,"2020-05-15",1,87,88,97
"LOTTO MAX EXTRA",610,"2020-05-19",17,23,54,87
"LOTTO MAX EXTRA",611,"2020-05-22",11,38,42,79
"LOTTO MAX EXTRA",612,"2020-05-26",48,73,78,91
"LOTTO MAX EXTRA",613,"2020-05-29",2,26,73,87
"LOTTO MAX EXTRA",614,"2020-06-02",38,46,48,56
"LOTTO MAX EXTRA",615,"2020-06-05",34,58,78,89
"LOTTO MAX EXTRA",616,"2020-06-09",2,57,80,98
"LOTTO MAX EXTRA",617,"2020-06-12",24,32,57,73
"LOTTO MAX EXTRA",618,"2020-06-16",1,6,55,66
"LOTTO MAX EXTRA",619,"2020-06-19",30,40,43,50
"LOTTO MAX EXTRA",620,"2020-06-23",27,29,40,53
"LOTTO MAX EXTRA",621,"2020-06-26",22,29,76,81
"LOTTO MAX EXTRA",622,"2020-06-30",36,43,56,91
"LOTTO MAX EXTRA",623,"2020-07-03",7,22,51,84
"LOTTO MAX EXTRA",624,"2020-07-07",5,24,61,68
"LOTTO MAX EXTRA",625,"2020-07-10",42,52,70,86
"LOTTO MAX EXTRA",626,"2020-07-14",51,71,78,88
"LOTTO MAX EXTRA",627,"2020-07-17",10,31,53,80
"LOTTO MAX EXTRA",628,"2020-07-21",11,43,46,61
"LOTTO MAX EXTRA",629,"2020-07-24",46,52,53,74
"LOTTO MAX EXTRA",630,"2020-07-28",17,31,78,93
"LOTTO MAX EXTRA",631,"2020-07-31",28,32,38,93
"LOTTO MAX EXTRA",632,"2020-08-04",10,67,68,97
"LOTTO MAX EXTRA",633,"2020-08-07",49,62,82,92
"LOTTO MAX EXTRA",634,"2020-08-11",39,40,50,64
"LOTTO MAX EXTRA",635,"2020-08-14",11,18,47,78
"LOTTO MAX EXTRA",636,"2020-08-18",7,10,45,49
"LOTTO MAX EXTRA",637,"2020-08-21",17,32,51,91
"LOTTO MAX EXTRA",638,"2020-08-25",17,28,60,89
"LOTTO MAX EXTRA",639,"2020-08-28",31,46,76,96
"LOTTO MAX EXTRA",640,"2020-09-01",19,25,80,91
"LOTTO MAX EXTRA",641,"2020-09-04",7,28,29,74
"LOTTO MAX EXTRA",642,"2020-09-08",11,31,90,95
"LOTTO MAX EXTRA",643,"2020-09-11",13,26,44,94
"LOTTO MAX EXTRA",644,"2020-09-15",14,23,32,50
"LOTTO MAX EXTRA",645,"2020-09-18",38,51,68,79
"LOTTO MAX EXTRA",646,"2020-09-22",38,73,78,92
"LOTTO MAX EXTRA",647,"2020-09-25",5,17,20,90
"LOTTO MAX EXTRA",648,"2020-09-29",24,40,50,88
"LOTTO MAX EXTRA",649,"2020-10-02",51,74,75,93
"LOTTO MAX EXTRA",650,"2020-10-06",30,31,77,78
"LOTTO MAX EXTRA",651,"2020-10-09",3,21,43,92
"LOTTO MAX EXTRA",652,"2020-10-13",16,40,56,82
"LOTTO MAX EXTRA",653,"2020-10-16",39,46,67,74
"LOTTO MAX EXTRA",654,"2020-10-20",24,25,37,82
"LOTTO MAX EXTRA",655,"2020-10-23",41,46,51,53
"LOTTO MAX EXTRA",656,"2020-10-27",1,29,41,97
"LOTTO MAX EXTRA",657,"2020-10-30",19,47,59,68
"LOTTO MAX EXTRA",658,"2020-11-03",2,65,66,93
"LOTTO MAX EXTRA",659,"2020-11-06",3,7,66,90
"LOTTO MAX EXTRA",660,"2020-11-10",1,33,72,99
"LOTTO MAX EXTRA",661,"2020-11-13",11,27,42,94
"LOTTO MAX EXTRA",662,"2020-11-17",12,75,88,95
"LOTTO MAX EXTRA",663,"2020-11-20",1,17,45,57
"LOTTO MAX EXTRA",664,"2020-11-24",28,56,77,96
"LOTTO MAX EXTRA",665,"2020-11-27",17,53,56,93
"LOTTO MAX EXTRA",666,"2020-12-01",3,35,84,85
"LOTTO MAX EXTRA",667,"2020-12-04",64,70,91,97
"LOTTO MAX EXTRA",668,"2020-12-08",47,64,84,86
"LOTTO MAX EXTRA",669,"2020-12-11",18,64,80,93
"LOTTO MAX EXTRA",670,"2020-12-15",7,8,48,57
"LOTTO MAX EXTRA",671,"2020-12-18",35,60,79,99
"LOTTO MAX EXTRA",672,"2020-12-22",13,49,51,94
"LOTTO MAX EXTRA",673,"2020-12-25",1,15,39,71
"LOTTO MAX EXTRA",674,"2020-12-29",21,22,23,87
"LOTTO MAX EXTRA",675,"2021-01-01",76,83,85,96
"LOTTO MAX EXTRA",676,"2021-01-05",46,76,83,96
"LOTTO MAX EXTRA",677,"2021-01-08",1,10,12,39
"LOTTO MAX EXTRA",678,"2021-01-12",5,14,37,75
"LOTTO MAX EXTRA",679,"2021-01-15",42,58,75,94
"LOTTO MAX EXTRA",680,"2021-01-19",43,55,82,88
"LOTTO MAX EXTRA",681,"2021-01-22",34,37,74,87
"LOTTO MAX EXTRA",682,"2021-01-26",11,14,23,73
"LOTTO MAX EXTRA",683,"2021-01-29",64,72,73,82
"LOTTO MAX EXTRA",684,"2021-02-02",17,21,76,79
"LOTTO MAX EXTRA",685,"2021-02-05",7,18,32,67
"LOTTO MAX EXTRA",686,"2021-02-09",12,15,26,42
"LOTTO MAX EXTRA",687,"2021-02-12",49,81,93,95
"LOTTO MAX EXTRA",688,"2021-02-16",46,51,56,58
"LOTTO MAX EXTRA",689,"2021-02-19",43,44,50,68
"LOTTO MAX EXTRA",690,"2021-02-23",14,16,62,87
"LOTTO MAX EXTRA",691,"2021-02-26",6,60,64,75
"LOTTO MAX EXTRA",692,"2021-03-02",18,50,80,84
"LOTTO MAX EXTRA",693,"2021-03-05",31,48,64,97
"LOTTO MAX EXTRA",694,"2021-03-09",32,61,74,89
"LOTTO MAX EXTRA",695,"2021-03-12",3,43,80,83
"LOTTO MAX EXTRA",696,"2021-03-16",9,11,36,65
"LOTTO MAX EXTRA",697,"2021-03-19",38,41,42,92
"LOTTO MAX EXTRA",698,"2021-03-23",25,33,34,43
"LOTTO MAX EXTRA",699,"2021-03-26",11,27,37,98
"LOTTO MAX EXTRA",700,"2021-03-30",10,18,44,91
"LOTTO MAX EXTRA",701,"2021-04-02",5,25,35,81
"LOTTO MAX EXTRA",702,"2021-04-06",16,49,81,87
"LOTTO MAX EXTRA",703,"2021-04-09",7,83,94,96
"LOTTO MAX EXTRA",704,"2021-04-13",9,30,61,86
"LOTTO MAX EXTRA",705,"2021-04-16",33,51,55,70
"LOTTO MAX EXTRA",706,"2021-04-20",7,43,47,61
"LOTTO MAX EXTRA",707,"2021-04-23",41,68,80,93
"LOTTO MAX EXTRA",708,"2021-04-27",27,33,35,74
"LOTTO MAX EXTRA",709,"2021-04-30",33,38,40,96
"LOTTO MAX EXTRA",710,"2021-05-04",10,20,49,64
"LOTTO MAX EXTRA",711,"2021-05-07",25,63,83,90
"LOTTO MAX EXTRA",712,"2021-05-11",20,32,52,66
"LOTTO MAX EXTRA",713,"2021-05-14",35,55,58,92
"LOTTO MAX EXTRA",714,"2021-05-18",51,56,85,94
"LOTTO MAX EXTRA",715,"2021-05-21",7,31,56,66
"LOTTO MAX EXTRA",716,"2021-05-25",5,37,89,95
"LOTTO MAX EXTRA",717,"2021-05-28",4,65,74,76
"LOTTO MAX EXTRA",718,"2021-06-01",1,5,70,74
"LOTTO MAX EXTRA",719,"2021-06-04",33,38,45,75
"LOTTO MAX EXTRA",720,"2021-06-08",7,15,25,63
"LOTTO MAX EXTRA",721,"2021-06-11",14,30,32,83
"LOTTO MAX EXTRA",722,"2021-06-15",1,27,41,74
"LOTTO MAX EXTRA",723,"2021-06-18",1,68,93,95
"LOTTO MAX EXTRA",724,"2021-06-22",1,7,23,41
"LOTTO MAX EXTRA",725,"2021-06-25",6,31,68,73
"LOTTO MAX EXTRA",726,"2021-06-29",11,43,49,51
"LOTTO MAX EXTRA",727,"2021-07-02",28,36,51,69
"LOTTO MAX EXTRA",728,"2021-07-06",17,48,73,80
"LOTTO MAX EXTRA",729,"2021-07-09",11,28,63,85
"LOTTO MAX EXTRA",730,"2021-07-13",18,50,72,86
"LOTTO MAX EXTRA",731,"2021-07-16",26,44,75,99
"LOTTO MAX EXTRA",732,"2021-07-20",27,30,39,91
"LOTTO MAX EXTRA",733,"2021-07-23",31,51,60,82
"LOTTO MAX EXTRA",734,"2021-07-27",9,20,37,89
"LOTTO MAX EXTRA",735,"2021-07-30",6,22,58,71
"LOTTO MAX EXTRA",736,"2021-08-03",2,68,75,81
"LOTTO MAX EXTRA",737,"2021-08-06",26,45,77,90
"LOTTO MAX EXTRA",738,"2021-08-10",22,38,41,53
"LOTTO MAX EXTRA",739,"2021-08-13",6,50,59,65
"LOTTO MAX EXTRA",740,"2021-08-17",50,51,69,89
"LOTTO MAX EXTRA",741,"2021-08-20",2,10,18,45
"LOTTO MAX EXTRA",742,"2021-08-24",13,34,51,63
"LOTTO MAX EXTRA",743,"2021-08-27",19,20,70,95
"LOTTO MAX EXTRA",744,"2021-08-31",10,21,58,69
"LOTTO MAX EXTRA",745,"2021-09-03",7,15,37,50
"LOTTO MAX EXTRA",746,"2021-09-07",16,51,90,96
"LOTTO MAX EXTRA",747,"2021-09-10",15,61,76,87
"LOTTO MAX EXTRA",748,"2021-09-14",27,76,83,93
"LOTTO MAX EXTRA",749,"2021-09-17",12,73,82,90
"LOTTO MAX EXTRA",750,"2021-09-21",33,46,64,73
"LOTTO MAX EXTRA",751,"2021-09-24",10,37,87,94
"LOTTO MAX EXTRA",752,"2021-09-28",39,55,62,84
"LOTTO MAX EXTRA",753,"2021-10-01",33,45,51,53
"LOTTO MAX EXTRA",754,"2021-10-05",6,47,68,97
"LOTTO MAX EXTRA",755,"2021-10-08",10,11,30,81
"LOTTO MAX EXTRA",756,"2021-10-12",17,36,52,76
"LOTTO MAX EXTRA",757,"2021-10-15",14,47,58,95
"LOTTO MAX EXTRA",758,"2021-10-19",12,63,76,81
"LOTTO MAX EXTRA",759,"2021-10-22",11,34,52,72
"LOTTO MAX EXTRA",760,"2021-10-26",53,55,87,97
"LOTTO MAX EXTRA",761,"2021-10-29",41,44,53,64
"LOTTO MAX EXTRA",762,"2021-11-02",3,8,46,61
"LOTTO MAX EXTRA",763,"2021-11-05",10,33,35,61
"LOTTO MAX EXTRA",764,"2021-11-09",3,14,30,33
"LOTTO MAX EXTRA",765,"2021-11-12",13,43,71,88
"LOTTO MAX EXTRA",766,"2021-11-16",26,38,43,85
"LOTTO MAX EXTRA",767,"2021-11-19",1,12,54,66
"LOTTO MAX EXTRA",768,"2021-11-23",6,49,73,75
"LOTTO MAX EXTRA",769,"2021-11-26",11,70,90,91
"LOTTO MAX EXTRA",770,"2021-11-30",2,59,65,69
"LOTTO MAX EXTRA",771,"2021-12-03",1,69,79,90
"LOTTO MAX EXTRA",772,"2021-12-07",20,86,88,99
"LOTTO MAX EXTRA",773,"2021-12-10",30,57,63,82
"LOTTO MAX EXTRA",774,"2021-12-14",10,54,66,95
"LOTTO MAX EXTRA",775,"2021-12-17",26,33,51,86
"LOTTO MAX EXTRA",776,"2021-12-21",46,85,86,99
"LOTTO MAX EXTRA",777,"2021-12-24",5,23,51,98
"LOTTO MAX EXTRA",778,"2021-12-28",3,22,58,77
"LOTTO MAX EXTRA",779,"2021-12-31",6,16,34,94
"LOTTO MAX EXTRA",780,"2022-01-04",2,14,70,87
"LOTTO MAX EXTRA",781,"2022-01-07",26,61,63,87
"LOTTO MAX EXTRA",782,"2022-01-11",16,46,71,90
"LOTTO MAX EXTRA",783,"2022-01-14",20,22,36,47
"LOTTO MAX EXTRA",784,"2022-01-18",39,40,68,78
"LOTTO MAX EXTRA",785,"2022-01-21",51,73,74,84
"LOTTO MAX EXTRA",786,"2022-01-25",22,68,79,98
"LOTTO MAX EXTRA",787,"2022-01-28",19,42,52,60
"LOTTO MAX EXTRA",788,"2022-02-01",39,52,92,94
"LOTTO MAX EXTRA",789,"2022-02-04",5,37,54,64
"LOTTO MAX EXTRA",790,"2022-02-08",30,37,79,81
"LOTTO MAX EXTRA",791,"2022-02-11",14,38,88,93
"LOTTO MAX EXTRA",792,"2022-02-15",22,68,69,94
"LOTTO MAX EXTRA",793,"2022-02-18",18,46,69,82
"LOTTO MAX EXTRA",794,"2022-02-22",3,21,24,40
"LOTTO MAX EXTRA",795,"2022-02-25",19,24,30,99
"LOTTO MAX EXTRA",796,"2022-03-01",2,3,81,89
"LOTTO MAX EXTRA",797,"2022-03-04",24,52,77,93
"LOTTO MAX EXTRA",798,"2022-03-08",12,24,43,92
"LOTTO MAX EXTRA",799,"2022-03-11",13,47,58,77
"LOTTO MAX EXTRA",800,"2022-03-15",20,37,61,79
"LOTTO MAX EXTRA",801,"2022-03-18",43,45,92,98
"LOTTO MAX EXTRA",802,"2022-03-22",5,26,44,58
"LOTTO MAX EXTRA",803,"2022-03-25",55,56,57,71
"LOTTO MAX EXTRA",804,"2022-03-29",15,19,33,62
"LOTTO MAX EXTRA",805,"2022-04-01",22,27,71,78
"LOTTO MAX EXTRA",806,"2022-04-05",19,36,87,94
"LOTTO MAX EXTRA",807,"2022-04-08",15,34,53,81
"LOTTO MAX EXTRA",808,"2022-04-12",17,27,60,94
"LOTTO MAX EXTRA",809,"2022-04-15",7,41,83,91
"LOTTO MAX EXTRA",810,"2022-04-19",15,57,61,95
"LOTTO MAX EXTRA",811,"2022-04-22",18,29,31,53
"LOTTO MAX EXTRA",812,"2022-04-26",41,47,76,88
"LOTTO MAX EXTRA",813,"2022-04-29",47,49,57,60
"LOTTO MAX EXTRA",814,"2022-05-03",37,47,83,95
"LOTTO MAX EXTRA",815,"2022-05-06",11,27,46,95
"LOTTO MAX EXTRA",816,"2022-05-10",49,54,67,80
"LOTTO MAX EXTRA",817,"2022-05-13",16,25,84,87
"LOTTO MAX EXTRA",818,"2022-05-17",3,7,48,84
"LOTTO MAX EXTRA",819,"2022-05-20",2,86,89,90
"LOTTO MAX EXTRA",820,"2022-05-24",4,24,48,51
"LOTTO MAX EXTRA",821,"2022-05-27",15,63,81,97
"LOTTO MAX EXTRA",822,"2022-05-31",5,22,31,52
"LOTTO MAX EXTRA",823,"2022-06-03",8,34,38,59
"LOTTO MAX EXTRA",824,"2022-06-07",1,42,66,81
"LOTTO MAX EXTRA",825,"2022-06-10",30,46,55,92
"LOTTO MAX EXTRA",826,"2022-06-14",11,65,79,99
"LOTTO MAX EXTRA",827,"2022-06-17",17,43,61,86
"LOTTO MAX EXTRA",828,"2022-06-21",20,34,50,99
"LOTTO MAX EXTRA",829,"2022-06-24",46,55,68,96
"LOTTO MAX EXTRA",830,"2022-06-28",16,30,67,83
"LOTTO MAX EXTRA",831,"2022-07-01",1,40,62,68
"LOTTO MAX EXTRA",832,"2022-07-05",17,25,76,83
"LOTTO MAX EXTRA",833,"2022-07-08",7,39,51,92
"LOTTO MAX EXTRA",834,"2022-07-12",3,17,40,83
"LOTTO MAX EXTRA",835,"2022-07-15",5,29,66,91
"LOTTO MAX EXTRA",836,"2022-07-19",13,30,50,57
"LOTTO MAX EXTRA",837,"2022-07-22",12,65,85,91
"LOTTO MAX EXTRA",838,"2022-07-26",9,32,42,94
"LOTTO MAX EXTRA",839,"2022-07-29",8,13,20,82
"LOTTO MAX EXTRA",840,"2022-08-02",11,30,37,84
"LOTTO MAX EXTRA",841,"2022-08-05",5,24,28,86
"LOTTO MAX EXTRA",842,"2022-08-09",17,41,79,93
"LOTTO MAX EXTRA",843,"2022-08-12",1,21,22,68
"LOTTO MAX EXTRA",844,"2022-08-16",42,76,92,96
"LOTTO MAX EXTRA",845,"2022-08-19",1,10,53,55
"LOTTO MAX EXTRA",846,"2022-08-23",10,11,52,91
"LOTTO MAX EXTRA",847,"2022-08-26",13,27,42,49
"LOTTO MAX EXTRA",848,"2022-08-30",1,18,62,90
"LOTTO MAX EXTRA",849,"2022-09-02",32,36,37,72
"LOTTO MAX EXTRA",850,"2022-09-06",32,59,82,97
"LOTTO MAX EXTRA",851,"2022-09-09",3,18,61,90
"LOTTO MAX EXTRA",852,"2022-09-13",9,36,44,54
"LOTTO MAX EXTRA",853,"2022-09-16",48,55,76,96
"LOTTO MAX EXTRA",854,"2022-09-20",27,40,72,99
"LOTTO MAX EXTRA",855,"2022-09-23",9,13,39,86
"LOTTO MAX EXTRA",856,"2022-09-27",36,53,65,90
"LOTTO MAX EXTRA",857,"2022-09-30",42,74,92,99
"LOTTO MAX EXTRA",858,"2022-10-04",21,35,42,64
"LOTTO MAX EXTRA",859,"2022-10-07",10,49,51,57
"LOTTO MAX EXTRA",860,"2022-10-11",50,67,74,91
"LOTTO MAX EXTRA",861,"2022-10-14",27,34,51,87
"LOTTO MAX EXTRA",862,"2022-10-18",6,28,75,92
"LOTTO MAX EXTRA",863,"2022-10-21",38,74,81,83
"LOTTO MAX EXTRA",864,"2022-10-25",37,38,70,88
"LOTTO MAX EXTRA",865,"2022-10-28",3,24,32,33
"LOTTO MAX EXTRA",866,"2022-11-01",33,46,52,75
"LOTTO MAX EXTRA",867,"2022-11-04",9,22,68,84
"LOTTO MAX EXTRA",868,"2022-11-08",20,32,38,88
"LOTTO MAX EXTRA",869,"2022-11-11",23,67,73,89
"LOTTO MAX EXTRA",870,"2022-11-15",19,32,58,83
"LOTTO MAX EXTRA",871,"2022-11-18",25,70,74,96
"LOTTO MAX EXTRA",872,"2022-11-22",14,44,49,51
"LOTTO MAX EXTRA",873,"2022-11-25",8,10,26,62
"LOTTO MAX EXTRA",874,"2022-11-29",13,23,41,78
"LOTTO MAX EXTRA",875,"2022-12-02",36,49,62,89
"LOTTO MAX EXTRA",876,"2022-12-06",2,6,19,48
"LOTTO MAX EXTRA",877,"2022-12-09",4,55,72,88
"LOTTO MAX EXTRA",878,"2022-12-13",13,50,59,76
"LOTTO MAX EXTRA",879,"2022-12-16",55,72,92,94
"LOTTO MAX EXTRA",880,"2022-12-20",3,14,85,91
"LOTTO MAX EXTRA",881,"2022-12-23",7,20,45,64
"LOTTO MAX EXTRA",882,"2022-12-27",8,27,57,93
"LOTTO MAX EXTRA",883,"2022-12-30",47,58,60,62
"LOTTO MAX EXTRA",884,"2023-01-03",21,24,25,43
"LOTTO MAX EXTRA",885,"2023-01-06",18,32,72,82
"LOTTO MAX EXTRA",886,"2023-01-10",18,34,69,93
"LOTTO MAX EXTRA",887,"2023-01-13",13,26,48,82
"LOTTO MAX EXTRA",888,"2023-01-17",16,25,35,78
"LOTTO MAX EXTRA",889,"2023-01-20",1,8,19,49
"LOTTO MAX EXTRA",890,"2023-01-24",29,56,62,76
"LOTTO MAX EXTRA",891,"2023-01-27",37,39,48,53
"LOTTO MAX EXTRA",892,"2023-01-31",37,78,92,99
"LOTTO MAX EXTRA",893,"2023-02-03",2,33,83,99
"LOTTO MAX EXTRA",894,"2023-02-07",11,30,85,91
"LOTTO MAX EXTRA",895,"2023-02-10",18,20,55,66
"LOTTO MAX EXTRA",896,"2023-02-14",19,47,64,77
"LOTTO MAX EXTRA",897,"2023-02-17",52,72,74,95
"LOTTO MAX EXTRA",898,"2023-02-21",13,62,63,89
"LOTTO MAX EXTRA",899,"2023-02-24",60,63,67,95
"LOTTO MAX EXTRA",900,"2023-02-28",18,75,90,94
"LOTTO MAX EXTRA",901,"2023-03-03",52,65,70,88
"LOTTO MAX EXTRA",902,"2023-03-07",6,22,73,88
"LOTTO MAX EXTRA",903,"2023-03-10",28,31,65,69
"LOTTO MAX EXTRA",904,"2023-03-14",21,39,77,94
"LOTTO MAX EXTRA",905,"2023-03-17",69,79,93,95
"LOTTO MAX EXTRA",906,"2023-03-21",61,81,95,96
"LOTTO MAX EXTRA",907,"2023-03-24",23,29,31,96
"LOTTO MAX EXTRA",908,"2023-03-28",27,36,80,96
"LOTTO MAX EXTRA",909,"2023-03-31",9,22,36,94
"LOTTO MAX EXTRA",910,"2023-04-04",43,61,86,99
"LOTTO MAX EXTRA",911,"2023-04-07",5,30,50,53
